case_num,px1,py1,gx1,gy1,px2,py2,gx2,gy2,px3,py3,gx3,gy3,px4,py4,gx4,gy4,
186,2.81,2.90,-2.81,-2.90,4.15,0.11,-4.15,-0.11,3.89,-1.66,-3.89,1.66,-3.77,0.79,3.77,-0.79,
187,-1.00,-3.46,1.00,3.46,-1.64,3.71,1.64,-3.71,-3.97,-0.98,3.97,0.98,-3.65,0.19,3.65,-0.19,
188,2.50,-3.10,-2.50,3.10,1.39,4.10,-1.39,-4.10,-3.25,2.44,3.25,-2.44,1.86,3.22,-1.86,-3.22,
189,1.77,4.06,-1.77,-4.06,3.59,-2.00,-3.59,2.00,3.87,-0.45,-3.87,0.45,3.02,2.29,-3.02,-2.29,
190,2.16,-3.17,-2.16,3.17,4.18,1.75,-4.18,-1.75,-3.38,1.93,3.38,-1.93,2.79,2.80,-2.79,-2.80,
191,-3.31,2.19,3.31,-2.19,-2.56,-2.66,2.56,2.66,3.24,3.16,-3.24,-3.16,1.14,4.24,-1.14,-4.24,
192,-1.71,-3.11,1.71,3.11,4.22,1.30,-4.22,-1.30,-4.09,1.62,4.09,-1.62,3.01,-2.66,-3.01,2.66,
193,3.86,0.08,-3.86,-0.08,2.62,3.36,-2.62,-3.36,3.43,2.01,-3.43,-2.01,2.03,-3.86,-2.03,3.86,
194,3.89,-0.96,-3.89,0.96,-1.87,-4.17,1.87,4.17,-0.99,3.56,0.99,-3.56,0.94,3.62,-0.94,-3.62,
195,1.81,-3.64,-1.81,3.64,3.79,2.13,-3.79,-2.13,0.93,3.52,-0.93,-3.52,3.79,-1.33,-3.79,1.33,
196,-3.64,-1.07,3.64,1.07,-2.66,-3.52,2.66,3.52,2.62,-3.05,-2.62,3.05,-3.01,-2.09,3.01,2.09,
197,-3.32,-2.01,3.32,2.01,1.25,3.83,-1.25,-3.83,4.24,-1.35,-4.24,1.35,-4.40,0.42,4.40,-0.42,
198,2.84,-2.37,-2.84,2.37,-1.34,3.38,1.34,-3.38,-3.56,-0.05,3.56,0.05,-3.26,-1.87,3.26,1.87,
199,-2.81,-2.61,2.81,2.61,3.66,-0.01,-3.66,0.01,-2.96,2.69,2.96,-2.69,4.15,-1.41,-4.15,1.41,
200,-3.33,-2.84,3.33,2.84,2.23,3.76,-2.23,-3.76,3.82,-1.56,-3.82,1.56,-3.74,0.24,3.74,-0.24,
201,-3.24,-1.34,3.24,1.34,2.04,-3.30,-2.04,3.30,2.14,3.20,-2.14,-3.20,3.97,-0.78,-3.97,0.78,
202,-1.14,-3.86,1.14,3.86,-2.95,2.16,2.95,-2.16,1.40,-3.67,-1.40,3.67,-3.66,-1.35,3.66,1.35,
203,-3.31,-1.50,3.31,1.50,-3.44,2.40,3.44,-2.40,0.58,3.41,-0.58,-3.41,1.23,-3.92,-1.23,3.92,
204,-2.36,-3.04,2.36,3.04,-3.58,2.08,3.58,-2.08,1.87,-3.35,-1.87,3.35,3.37,-1.25,-3.37,1.25,
205,-2.00,-2.93,2.00,2.93,3.58,0.77,-3.58,-0.77,3.27,2.25,-3.27,-2.25,4.08,-2.06,-4.08,2.06,
206,1.64,-4.25,-1.64,4.25,1.43,-3.22,-1.43,3.22,3.08,-1.91,-3.08,1.91,-1.37,-3.37,1.37,3.37,
207,1.79,-3.88,-1.79,3.88,-1.69,-3.66,1.69,3.66,-3.36,0.91,3.36,-0.91,1.87,2.83,-1.87,-2.83,
208,1.13,-4.06,-1.13,4.06,-2.89,3.36,2.89,-3.36,4.46,-0.50,-4.46,0.50,-3.41,-1.78,3.41,1.78,
209,4.11,1.24,-4.11,-1.24,2.18,-3.00,-2.18,3.00,-3.15,-3.11,3.15,3.11,3.11,2.15,-3.11,-2.15,
210,-1.05,3.69,1.05,-3.69,3.66,-0.05,-3.66,0.05,-2.51,3.11,2.51,-3.11,-2.63,-3.39,2.63,3.39,
211,-1.21,3.90,1.21,-3.90,4.36,-1.07,-4.36,1.07,-4.25,-1.34,4.25,1.34,3.26,-1.54,-3.26,1.54,
212,4.00,-2.01,-4.00,2.01,4.17,0.12,-4.17,-0.12,1.80,-3.54,-1.80,3.54,1.12,4.29,-1.12,-4.29,
213,3.65,-0.39,-3.65,0.39,2.82,-2.09,-2.82,2.09,3.68,2.05,-3.68,-2.05,3.27,-1.34,-3.27,1.34,
214,-1.25,4.07,1.25,-4.07,3.15,-2.92,-3.15,2.92,-2.65,-3.20,2.65,3.20,-3.95,0.76,3.95,-0.76,
215,-2.17,3.85,2.17,-3.85,-1.05,-4.29,1.05,4.29,1.31,-3.76,-1.31,3.76,2.84,3.10,-2.84,-3.10,
216,-4.15,1.19,4.15,-1.19,-2.52,3.20,2.52,-3.20,2.44,3.09,-2.44,-3.09,1.21,4.03,-1.21,-4.03,
217,4.12,0.27,-4.12,-0.27,2.96,-2.37,-2.96,2.37,-2.33,-3.31,2.33,3.31,3.37,1.95,-3.37,-1.95,
218,-3.91,-0.53,3.91,0.53,-3.41,-2.69,3.41,2.69,2.41,2.66,-2.41,-2.66,-1.41,3.46,1.41,-3.46,
219,-0.91,-4.08,0.91,4.08,3.83,-1.42,-3.83,1.42,2.80,2.41,-2.80,-2.41,3.50,1.64,-3.50,-1.64,
220,-3.69,1.36,3.69,-1.36,3.30,2.81,-3.30,-2.81,3.54,2.00,-3.54,-2.00,-4.06,0.49,4.06,-0.49,
221,1.42,3.78,-1.42,-3.78,3.25,-2.63,-3.25,2.63,3.58,-1.00,-3.58,1.00,-3.51,-2.27,3.51,2.27,
222,-3.63,0.46,3.63,-0.46,-3.86,-1.36,3.86,1.36,2.31,2.58,-2.31,-2.58,-2.93,-3.40,2.93,3.40,
223,3.48,1.51,-3.48,-1.51,-4.01,-0.05,4.01,0.05,1.43,3.64,-1.43,-3.64,4.41,-0.67,-4.41,0.67,
224,-4.27,-0.23,4.27,0.23,2.56,-3.43,-2.56,3.43,-4.11,1.05,4.11,-1.05,-1.51,-4.15,1.51,4.15,
225,2.41,3.31,-2.41,-3.31,4.21,0.64,-4.21,-0.64,4.00,1.84,-4.00,-1.84,3.30,2.91,-3.30,-2.91,
226,-3.10,-2.59,3.10,2.59,-1.61,-3.96,1.61,3.96,-3.83,1.48,3.83,-1.48,0.80,-4.11,-0.80,4.11,
227,-3.39,2.23,3.39,-2.23,-3.51,-1.92,3.51,1.92,2.64,3.07,-2.64,-3.07,4.42,-0.81,-4.42,0.81,
228,-2.53,2.87,2.53,-2.87,4.30,1.03,-4.30,-1.03,3.98,-1.26,-3.98,1.26,-3.45,-2.12,3.45,2.12,
229,-3.37,1.93,3.37,-1.93,-2.10,3.50,2.10,-3.50,-1.22,-3.58,1.22,3.58,2.58,-2.45,-2.58,2.45,
230,-1.85,3.29,1.85,-3.29,-3.18,-2.48,3.18,2.48,-2.91,3.12,2.91,-3.12,-4.21,0.42,4.21,-0.42,
231,-0.81,4.09,0.81,-4.09,2.03,-3.20,-2.03,3.20,-3.88,1.29,3.88,-1.29,4.31,1.01,-4.31,-1.01,
232,-3.20,1.71,3.20,-1.71,-1.97,3.08,1.97,-3.08,4.27,1.53,-4.27,-1.53,-3.42,-1.92,3.42,1.92,
233,-3.96,-0.25,3.96,0.25,4.15,-1.47,-4.15,1.47,-2.95,-2.78,2.95,2.78,3.01,-2.49,-3.01,2.49,
234,1.06,-3.47,-1.06,3.47,2.80,-2.54,-2.80,2.54,-1.41,-3.17,1.41,3.17,-2.68,-2.74,2.68,2.74,
235,1.56,3.67,-1.56,-3.67,1.16,-4.13,-1.16,4.13,2.70,-2.81,-2.70,2.81,-3.70,-1.99,3.70,1.99,
236,4.32,-1.17,-4.32,1.17,-2.08,-3.00,2.08,3.00,-3.40,1.59,3.40,-1.59,1.85,-3.55,-1.85,3.55,
237,3.25,-1.79,-3.25,1.79,-2.89,2.90,2.89,-2.90,1.13,-4.03,-1.13,4.03,1.24,4.00,-1.24,-4.00,
238,3.34,1.02,-3.34,-1.02,-2.13,3.49,2.13,-3.49,4.26,0.80,-4.26,-0.80,1.54,3.25,-1.54,-3.25,
239,3.48,-1.84,-3.48,1.84,3.16,2.44,-3.16,-2.44,2.93,-2.46,-2.93,2.46,-3.52,-1.70,3.52,1.70,
240,-3.75,-0.12,3.75,0.12,-2.44,3.18,2.44,-3.18,-3.53,2.39,3.53,-2.39,3.63,1.31,-3.63,-1.31,
241,3.00,-3.12,-3.00,3.12,-3.13,-1.76,3.13,1.76,-0.96,-3.69,0.96,3.69,-3.51,0.75,3.51,-0.75,
242,3.62,-0.45,-3.62,0.45,3.80,-2.26,-3.80,2.26,3.57,1.69,-3.57,-1.69,2.94,-2.14,-2.94,2.14,
243,2.52,-3.32,-2.52,3.32,2.26,2.92,-2.26,-2.92,-4.10,-1.19,4.10,1.19,0.85,3.92,-0.85,-3.92,
244,3.91,0.17,-3.91,-0.17,-2.17,3.76,2.17,-3.76,4.41,-0.45,-4.41,0.45,3.64,1.99,-3.64,-1.99,
245,-1.65,-3.14,1.65,3.14,3.32,-2.18,-3.32,2.18,1.33,4.15,-1.33,-4.15,2.58,-3.86,-2.58,3.86,
246,-1.64,3.15,1.64,-3.15,4.19,0.85,-4.19,-0.85,1.31,-3.90,-1.31,3.90,3.45,1.79,-3.45,-1.79,
247,2.57,3.83,-2.57,-3.83,-1.46,-3.56,1.46,3.56,4.07,-1.70,-4.07,1.70,2.02,-3.87,-2.02,3.87,
248,-3.31,-1.63,3.31,1.63,-3.22,2.04,3.22,-2.04,1.03,-3.65,-1.03,3.65,1.51,3.43,-1.51,-3.43,
249,-1.15,3.91,1.15,-3.91,1.33,4.07,-1.33,-4.07,4.08,-0.35,-4.08,0.35,2.83,2.68,-2.83,-2.68,
250,3.55,-0.10,-3.55,0.10,2.58,2.79,-2.58,-2.79,-1.78,3.42,1.78,-3.42,2.89,-2.16,-2.89,2.16,
251,3.53,0.63,-3.53,-0.63,2.13,3.15,-2.13,-3.15,-2.69,3.10,2.69,-3.10,0.85,-3.69,-0.85,3.69,
252,-3.61,-2.37,3.61,2.37,3.89,-0.93,-3.89,0.93,-1.93,-3.79,1.93,3.79,2.56,-2.56,-2.56,2.56,
253,-4.15,0.75,4.15,-0.75,1.15,3.30,-1.15,-3.30,-1.81,3.50,1.81,-3.50,-2.07,-2.80,2.07,2.80,
254,2.41,3.72,-2.41,-3.72,3.66,-2.35,-3.66,2.35,3.83,-0.47,-3.83,0.47,3.36,2.15,-3.36,-2.15,
255,-2.33,-2.83,2.33,2.83,3.75,-1.68,-3.75,1.68,3.45,2.56,-3.45,-2.56,2.50,-3.67,-2.50,3.67,
256,-3.09,2.73,3.09,-2.73,-2.23,-3.67,2.23,3.67,3.11,2.74,-3.11,-2.74,-3.46,1.80,3.46,-1.80,
257,3.72,-0.18,-3.72,0.18,3.43,1.50,-3.43,-1.50,2.56,3.61,-2.56,-3.61,-1.74,3.42,1.74,-3.42,
258,4.26,0.64,-4.26,-0.64,4.06,-0.35,-4.06,0.35,1.68,3.62,-1.68,-3.62,-3.16,-2.27,3.16,2.27,
259,-3.19,2.72,3.19,-2.72,4.08,0.39,-4.08,-0.39,-1.28,3.86,1.28,-3.86,3.69,1.51,-3.69,-1.51,
260,0.99,-3.50,-0.99,3.50,-3.65,-0.62,3.65,0.62,3.72,-1.55,-3.72,1.55,2.59,-3.53,-2.59,3.53,
261,-3.23,3.01,3.23,-3.01,-2.92,-2.33,2.92,2.33,-3.46,0.96,3.46,-0.96,-1.31,3.74,1.31,-3.74,
262,2.20,3.16,-2.20,-3.16,-1.05,3.81,1.05,-3.81,-3.59,-1.72,3.59,1.72,3.00,-2.64,-3.00,2.64,
263,2.06,-3.73,-2.06,3.73,4.08,1.00,-4.08,-1.00,2.36,2.61,-2.36,-2.61,4.20,-0.83,-4.20,0.83,
264,2.31,3.42,-2.31,-3.42,-3.38,-1.58,3.38,1.58,-1.58,3.35,1.58,-3.35,3.50,-1.63,-3.50,1.63,
265,1.88,-3.13,-1.88,3.13,4.45,-0.02,-4.45,0.02,-2.74,-2.66,2.74,2.66,4.13,-1.27,-4.13,1.27,
266,3.92,1.86,-3.92,-1.86,1.08,-4.05,-1.08,4.05,2.07,3.40,-2.07,-3.40,4.27,0.12,-4.27,-0.12,
267,4.36,-1.13,-4.36,1.13,4.06,0.09,-4.06,-0.09,3.22,-2.65,-3.22,2.65,3.51,1.09,-3.51,-1.09,
268,1.05,-4.05,-1.05,4.05,-1.47,3.33,1.47,-3.33,3.25,-1.73,-3.25,1.73,-2.63,-3.20,2.63,3.20,
269,4.13,-0.05,-4.13,0.05,-1.03,3.99,1.03,-3.99,2.95,-3.50,-2.95,3.50,1.30,3.60,-1.30,-3.60,
270,0.77,-3.40,-0.77,3.40,-3.31,3.14,3.31,-3.14,-3.27,-2.98,3.27,2.98,4.22,0.21,-4.22,-0.21,
271,3.43,-2.27,-3.43,2.27,4.18,-0.07,-4.18,0.07,0.83,-3.45,-0.83,3.45,-3.90,1.16,3.90,-1.16,
272,3.52,2.44,-3.52,-2.44,2.88,-2.65,-2.88,2.65,-1.24,-3.27,1.24,3.27,1.93,3.81,-1.93,-3.81,
273,-1.42,-4.09,1.42,4.09,-1.35,3.65,1.35,-3.65,-3.53,-1.96,3.53,1.96,-4.01,0.36,4.01,-0.36,
274,3.87,1.13,-3.87,-1.13,4.05,-2.25,-4.05,2.25,-3.28,-2.71,3.28,2.71,-1.23,-4.29,1.23,4.29,
275,3.63,-1.57,-3.63,1.57,4.45,-0.73,-4.45,0.73,-1.56,-3.40,1.56,3.40,-3.68,-0.55,3.68,0.55,
276,3.55,1.18,-3.55,-1.18,2.43,-2.32,-2.43,2.32,-2.23,-3.43,2.23,3.43,2.14,-3.29,-2.14,3.29,
277,-3.48,1.49,3.48,-1.49,-3.34,-2.20,3.34,2.20,2.54,-2.94,-2.54,2.94,4.19,-0.07,-4.19,0.07,
278,2.75,3.23,-2.75,-3.23,-3.65,0.27,3.65,-0.27,-3.49,1.29,3.49,-1.29,4.22,0.92,-4.22,-0.92,
279,-3.79,-0.20,3.79,0.20,3.92,-1.42,-3.92,1.42,1.96,-3.44,-1.96,3.44,2.66,2.96,-2.66,-2.96,
280,2.49,-3.34,-2.49,3.34,-2.06,-3.20,2.06,3.20,3.26,-2.02,-3.26,2.02,-4.31,-0.95,4.31,0.95,
281,1.25,-3.78,-1.25,3.78,3.60,-2.27,-3.60,2.27,-3.67,1.21,3.67,-1.21,-3.76,0.34,3.76,-0.34,
282,4.02,1.25,-4.02,-1.25,-2.92,-2.59,2.92,2.59,3.58,-2.50,-3.58,2.50,-2.54,3.18,2.54,-3.18,
283,1.90,-3.13,-1.90,3.13,0.82,4.10,-0.82,-4.10,-3.90,2.12,3.90,-2.12,-2.99,-2.43,2.99,2.43,
284,3.83,1.94,-3.83,-1.94,-2.83,3.12,2.83,-3.12,-3.78,0.39,3.78,-0.39,2.01,-2.86,-2.01,2.86,
285,0.88,-4.06,-0.88,4.06,-2.62,2.61,2.62,-2.61,4.22,1.29,-4.22,-1.29,4.04,-1.35,-4.04,1.35,
286,3.61,1.54,-3.61,-1.54,-2.51,-3.61,2.51,3.61,0.99,3.47,-0.99,-3.47,-2.98,2.93,2.98,-2.93,
287,3.72,2.20,-3.72,-2.20,-3.02,3.23,3.02,-3.23,-3.84,1.05,3.84,-1.05,1.30,3.78,-1.30,-3.78,
288,3.84,1.14,-3.84,-1.14,-1.72,-2.94,1.72,2.94,3.26,-1.23,-3.26,1.23,4.03,-0.85,-4.03,0.85,
289,-2.15,3.12,2.15,-3.12,-3.07,2.23,3.07,-2.23,-1.15,3.29,1.15,-3.29,-1.34,-4.04,1.34,4.04,
290,1.88,-3.07,-1.88,3.07,2.41,3.69,-2.41,-3.69,-3.69,0.01,3.69,-0.01,1.72,-4.24,-1.72,4.24,
291,-0.90,3.75,0.90,-3.75,-3.48,-0.84,3.48,0.84,1.72,3.62,-1.72,-3.62,-4.00,0.86,4.00,-0.86,
292,3.41,2.00,-3.41,-2.00,3.63,-2.46,-3.63,2.46,-1.24,-3.63,1.24,3.63,2.66,-3.09,-2.66,3.09,
293,-2.20,-3.20,2.20,3.20,-1.35,-3.39,1.35,3.39,-2.04,3.34,2.04,-3.34,3.86,0.50,-3.86,-0.50,
294,4.01,0.06,-4.01,-0.06,1.87,-3.19,-1.87,3.19,-4.09,1.33,4.09,-1.33,1.78,3.29,-1.78,-3.29,
295,4.01,-0.56,-4.01,0.56,-1.14,3.76,1.14,-3.76,-2.06,-3.03,2.06,3.03,-3.53,-0.20,3.53,0.20,
296,-3.61,0.11,3.61,-0.11,2.54,2.54,-2.54,-2.54,-4.36,1.24,4.36,-1.24,1.22,-3.48,-1.22,3.48,
297,3.53,-2.07,-3.53,2.07,-3.93,-1.30,3.93,1.30,4.19,-1.28,-4.19,1.28,-4.01,-0.26,4.01,0.26,
298,3.87,-0.15,-3.87,0.15,2.49,3.23,-2.49,-3.23,-1.72,-3.89,1.72,3.89,3.78,-1.37,-3.78,1.37,
299,-4.02,-0.86,4.02,0.86,-3.48,-1.57,3.48,1.57,-3.17,2.21,3.17,-2.21,3.77,-0.37,-3.77,0.37,
300,-3.57,1.90,3.57,-1.90,2.46,3.23,-2.46,-3.23,1.60,-4.27,-1.60,4.27,-3.06,-2.07,3.06,2.07,
301,-1.37,3.30,1.37,-3.30,-3.95,0.57,3.95,-0.57,-4.11,-1.33,4.11,1.33,3.82,-1.53,-3.82,1.53,
302,-2.49,2.91,2.49,-2.91,1.53,-4.23,-1.53,4.23,-3.77,-1.84,3.77,1.84,-2.20,3.72,2.20,-3.72,
303,2.56,-3.05,-2.56,3.05,1.30,4.26,-1.30,-4.26,1.96,-3.73,-1.96,3.73,3.13,1.54,-3.13,-1.54,
304,3.42,-1.89,-3.42,1.89,2.58,-3.33,-2.58,3.33,-3.30,-1.88,3.30,1.88,-4.12,-0.39,4.12,0.39,
305,2.69,-2.55,-2.69,2.55,-4.00,-1.08,4.00,1.08,1.77,-4.05,-1.77,4.05,-3.63,1.26,3.63,-1.26,
306,-2.95,3.17,2.95,-3.17,1.81,3.47,-1.81,-3.47,-3.97,1.59,3.97,-1.59,-3.18,2.32,3.18,-2.32,
307,-4.07,0.04,4.07,-0.04,2.99,-2.27,-2.99,2.27,-4.07,-1.31,4.07,1.31,-0.98,-3.64,0.98,3.64,
308,4.03,-1.12,-4.03,1.12,1.23,3.76,-1.23,-3.76,-3.99,-0.63,3.99,0.63,3.42,2.10,-3.42,-2.10,
309,1.97,3.20,-1.97,-3.20,3.81,2.12,-3.81,-2.12,-3.74,0.78,3.74,-0.78,-1.69,3.26,1.69,-3.26,
310,-0.66,3.50,0.66,-3.50,-3.52,0.73,3.52,-0.73,-1.48,3.58,1.48,-3.58,2.72,2.97,-2.72,-2.97,
311,3.57,-0.97,-3.57,0.97,4.04,-0.12,-4.04,0.12,2.43,-3.39,-2.43,3.39,3.09,-2.04,-3.09,2.04,
312,1.31,3.85,-1.31,-3.85,3.88,0.99,-3.88,-0.99,3.17,1.59,-3.17,-1.59,-1.52,3.62,1.52,-3.62,
313,-3.22,1.69,3.22,-1.69,1.61,4.12,-1.61,-4.12,3.52,1.80,-3.52,-1.80,2.88,3.16,-2.88,-3.16,
314,3.53,0.16,-3.53,-0.16,1.51,-3.40,-1.51,3.40,4.32,-1.27,-4.32,1.27,-3.05,-2.36,3.05,2.36,
315,-2.00,-2.88,2.00,2.88,3.88,2.19,-3.88,-2.19,-3.32,1.11,3.32,-1.11,-4.41,-0.53,4.41,0.53,
316,1.87,3.44,-1.87,-3.44,3.44,-2.92,-3.44,2.92,-2.08,3.04,2.08,-3.04,-3.83,-0.36,3.83,0.36,
317,2.77,3.23,-2.77,-3.23,-2.37,3.44,2.37,-3.44,-3.77,-2.02,3.77,2.02,3.19,-1.56,-3.19,1.56,
318,2.84,3.29,-2.84,-3.29,3.83,1.63,-3.83,-1.63,-3.42,2.59,3.42,-2.59,1.62,-3.53,-1.62,3.53,
319,3.65,2.06,-3.65,-2.06,-3.89,0.79,3.89,-0.79,-1.36,-3.33,1.36,3.33,-2.17,3.42,2.17,-3.42,
320,-3.28,-2.83,3.28,2.83,-3.52,0.11,3.52,-0.11,3.86,1.92,-3.86,-1.92,-1.65,4.27,1.65,-4.27,
321,2.75,-2.73,-2.75,2.73,-2.11,-3.61,2.11,3.61,-3.50,1.44,3.50,-1.44,-2.22,-2.72,2.22,2.72,
322,-1.76,3.94,1.76,-3.94,-2.82,3.59,2.82,-3.59,-3.88,1.49,3.88,-1.49,-2.81,2.58,2.81,-2.58,
323,0.98,4.32,-0.98,-4.32,1.95,2.99,-1.95,-2.99,-3.82,2.44,3.82,-2.44,-3.70,-1.04,3.70,1.04,
324,1.03,3.78,-1.03,-3.78,3.01,2.44,-3.01,-2.44,-4.08,1.11,4.08,-1.11,3.44,-2.72,-3.44,2.72,
325,4.24,-0.25,-4.24,0.25,-1.02,3.90,1.02,-3.90,4.06,1.38,-4.06,-1.38,1.98,3.12,-1.98,-3.12,
326,1.38,-4.17,-1.38,4.17,-3.61,1.21,3.61,-1.21,3.23,2.68,-3.23,-2.68,3.69,-0.22,-3.69,0.22,
327,1.48,-3.29,-1.48,3.29,3.51,2.60,-3.51,-2.60,2.63,-3.00,-2.63,3.00,1.86,3.88,-1.86,-3.88,
328,-3.49,-2.14,3.49,2.14,-1.24,3.49,1.24,-3.49,-3.58,-0.19,3.58,0.19,-0.93,-4.25,0.93,4.25,
329,-2.54,3.08,2.54,-3.08,1.96,-4.10,-1.96,4.10,3.11,3.02,-3.11,-3.02,3.08,-2.03,-3.08,2.03,
330,3.79,-1.22,-3.79,1.22,-2.00,-3.19,2.00,3.19,-2.27,2.95,2.27,-2.95,-4.27,-1.39,4.27,1.39,
331,-3.86,0.58,3.86,-0.58,-3.03,-2.05,3.03,2.05,-3.54,2.36,3.54,-2.36,-1.03,3.82,1.03,-3.82,
332,3.73,1.19,-3.73,-1.19,2.02,3.02,-2.02,-3.02,1.41,-4.10,-1.41,4.10,-3.39,1.13,3.39,-1.13,
333,-2.99,-2.36,2.99,2.36,-3.86,0.82,3.86,-0.82,3.19,-1.28,-3.19,1.28,4.14,0.61,-4.14,-0.61,
334,-1.71,3.69,1.71,-3.69,3.77,-1.14,-3.77,1.14,-2.59,-3.16,2.59,3.16,3.90,-2.06,-3.90,2.06,
335,4.20,-0.56,-4.20,0.56,1.42,4.15,-1.42,-4.15,3.16,2.08,-3.16,-2.08,4.06,0.77,-4.06,-0.77,
336,2.79,2.97,-2.79,-2.97,4.35,-0.20,-4.35,0.20,-3.47,1.02,3.47,-1.02,3.58,-2.15,-3.58,2.15,
337,-1.24,-4.36,1.24,4.36,-2.55,-2.84,2.55,2.84,-3.96,-0.10,3.96,0.10,1.80,3.24,-1.80,-3.24,
338,-4.05,1.03,4.05,-1.03,2.88,2.78,-2.88,-2.78,1.28,-4.02,-1.28,4.02,-3.37,2.27,3.37,-2.27,
339,-2.63,-2.98,2.63,2.98,-4.23,-1.58,4.23,1.58,3.98,0.47,-3.98,-0.47,3.35,2.26,-3.35,-2.26,
340,-1.23,4.28,1.23,-4.28,3.79,2.26,-3.79,-2.26,-3.12,1.69,3.12,-1.69,2.34,2.85,-2.34,-2.85,
341,4.15,-1.39,-4.15,1.39,-3.34,-2.24,3.34,2.24,-1.37,-3.36,1.37,3.36,2.59,3.20,-2.59,-3.20,
342,-3.62,0.31,3.62,-0.31,3.48,2.18,-3.48,-2.18,3.25,-1.68,-3.25,1.68,1.96,-3.87,-1.96,3.87,
343,-2.34,-3.77,2.34,3.77,-3.60,1.35,3.60,-1.35,-3.56,-0.28,3.56,0.28,-3.05,3.15,3.05,-3.15,
344,0.79,-3.81,-0.79,3.81,3.69,-1.49,-3.69,1.49,-3.72,-2.01,3.72,2.01,-2.65,3.06,2.65,-3.06,
345,-3.42,-2.01,3.42,2.01,-2.19,-3.10,2.19,3.10,1.94,-3.07,-1.94,3.07,3.69,1.03,-3.69,-1.03,
346,1.87,3.68,-1.87,-3.68,-1.08,3.87,1.08,-3.87,-3.53,0.77,3.53,-0.77,4.06,1.00,-4.06,-1.00,
347,3.41,-2.25,-3.41,2.25,4.25,0.25,-4.25,-0.25,-1.42,-3.48,1.42,3.48,1.68,-3.77,-1.68,3.77,
348,4.29,0.81,-4.29,-0.81,-2.60,3.39,2.60,-3.39,3.19,2.54,-3.19,-2.54,0.82,4.11,-0.82,-4.11,
349,-2.68,-2.75,2.68,2.75,2.46,-2.79,-2.46,2.79,-0.85,-3.45,0.85,3.45,-1.95,-4.02,1.95,4.02,
350,3.28,2.11,-3.28,-2.11,-1.63,-3.44,1.63,3.44,-2.41,3.13,2.41,-3.13,1.42,-3.41,-1.42,3.41,
351,1.05,3.80,-1.05,-3.80,3.48,2.02,-3.48,-2.02,-3.93,1.63,3.93,-1.63,2.68,-2.80,-2.68,2.80,
352,2.15,3.04,-2.15,-3.04,-4.27,-0.12,4.27,0.12,-0.83,3.49,0.83,-3.49,2.18,-3.40,-2.18,3.40,
353,1.17,3.39,-1.17,-3.39,-1.98,3.27,1.98,-3.27,3.15,1.92,-3.15,-1.92,4.04,-0.85,-4.04,0.85,
354,1.93,3.68,-1.93,-3.68,-3.12,2.88,3.12,-2.88,-4.17,0.82,4.17,-0.82,3.54,-1.35,-3.54,1.35,
355,-3.43,1.39,3.43,-1.39,1.79,4.21,-1.79,-4.21,-3.80,-0.66,3.80,0.66,1.71,-3.59,-1.71,3.59,
356,-3.02,-2.60,3.02,2.60,-4.24,0.08,4.24,-0.08,3.58,-2.95,-3.58,2.95,1.46,-3.42,-1.46,3.42,
357,3.87,2.13,-3.87,-2.13,-3.98,1.17,3.98,-1.17,1.08,-3.48,-1.08,3.48,3.47,0.92,-3.47,-0.92,
358,2.75,3.00,-2.75,-3.00,4.01,-0.51,-4.01,0.51,1.79,-3.72,-1.79,3.72,3.80,-2.08,-3.80,2.08,
359,3.85,-1.91,-3.85,1.91,-3.18,-2.77,3.18,2.77,3.71,0.87,-3.71,-0.87,-4.26,0.15,4.26,-0.15,
360,-2.87,-3.37,2.87,3.37,-2.05,-3.89,2.05,3.89,-3.55,-1.21,3.55,1.21,4.14,-0.87,-4.14,0.87,
361,3.93,-0.18,-3.93,0.18,-3.51,-1.92,3.51,1.92,2.17,2.67,-2.17,-2.67,2.18,3.90,-2.18,-3.90,
362,1.31,-4.12,-1.31,4.12,3.81,-1.86,-3.81,1.86,-2.75,2.94,2.75,-2.94,3.93,1.02,-3.93,-1.02,
363,-1.04,-3.84,1.04,3.84,-3.35,-1.62,3.35,1.62,-3.40,-2.73,3.40,2.73,4.43,-0.57,-4.43,0.57,
364,-1.42,3.96,1.42,-3.96,-1.31,-3.34,1.31,3.34,4.36,1.10,-4.36,-1.10,-3.73,0.05,3.73,-0.05,
365,3.45,1.17,-3.45,-1.17,1.96,3.41,-1.96,-3.41,-4.19,-0.33,4.19,0.33,-2.75,-2.29,2.75,2.29,
366,4.19,0.15,-4.19,-0.15,-3.52,0.96,3.52,-0.96,0.80,3.83,-0.80,-3.83,3.32,-2.94,-3.32,2.94,
367,3.09,-2.22,-3.09,2.22,2.00,2.94,-2.00,-2.94,3.80,-0.98,-3.80,0.98,-2.66,2.92,2.66,-2.92,
368,2.57,-2.46,-2.57,2.46,-4.26,1.10,4.26,-1.10,-1.30,-3.63,1.30,3.63,3.23,2.47,-3.23,-2.47,
369,-4.20,1.09,4.20,-1.09,3.30,2.78,-3.30,-2.78,2.34,3.74,-2.34,-3.74,4.12,0.78,-4.12,-0.78,
370,1.47,3.12,-1.47,-3.12,-4.23,0.36,4.23,-0.36,-3.29,2.22,3.29,-2.22,-3.16,-2.08,3.16,2.08,
